lr-AdamW,step,P@CONST_DIR,R@CONST_DIR,F1@CONST_DIR,P@PARAM,R@PARAM,F1@PARAM,P@OBJ_NAME,R@OBJ_NAME,F1@OBJ_NAME,P@OBJ_DIR,R@OBJ_DIR,F1@OBJ_DIR,P@VAR,R@VAR,F1@VAR,P@LIMIT,R@LIMIT,F1@LIMIT,micro@P,micro@R,micro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_P@CONST_DIR/epoch_0,val_R@CONST_DIR/epoch_0,val_F1@CONST_DIR/epoch_0,val_P@PARAM/epoch_0,val_R@PARAM/epoch_0,val_F1@PARAM/epoch_0,val_P@OBJ_DIR/epoch_0,val_R@OBJ_DIR/epoch_0,val_F1@OBJ_DIR/epoch_0,val_P@OBJ_NAME/epoch_0,val_R@OBJ_NAME/epoch_0,val_F1@OBJ_NAME/epoch_0,val_P@LIMIT/epoch_0,val_R@LIMIT/epoch_0,val_F1@LIMIT/epoch_0,val_P@VAR/epoch_0,val_R@VAR/epoch_0,val_F1@VAR/epoch_0,val_micro@P/epoch_0,val_micro@R/epoch_0,val_micro@F1/epoch_0,val_MD@R/epoch_0,val_MD@P/epoch_0,val_MD@F1/epoch_0,val_ALLTRUE/epoch_0,val_ALLRECALLED/epoch_0,val_ALLPRED/epoch_0,val_loss/epoch_0,val_P@CONST_DIR,val_R@CONST_DIR,val_F1@CONST_DIR,val_P@PARAM,val_R@PARAM,val_F1@PARAM,val_P@OBJ_NAME,val_R@OBJ_NAME,val_F1@OBJ_NAME,val_P@OBJ_DIR,val_R@OBJ_DIR,val_F1@OBJ_DIR,val_P@VAR,val_R@VAR,val_F1@VAR,val_P@LIMIT,val_R@LIMIT,val_F1@LIMIT,val_micro@P,val_micro@R,val_micro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss,val_P@CONST_DIR/epoch_1,val_R@CONST_DIR/epoch_1,val_F1@CONST_DIR/epoch_1,val_P@PARAM/epoch_1,val_R@PARAM/epoch_1,val_F1@PARAM/epoch_1,val_P@OBJ_DIR/epoch_1,val_R@OBJ_DIR/epoch_1,val_F1@OBJ_DIR/epoch_1,val_P@OBJ_NAME/epoch_1,val_R@OBJ_NAME/epoch_1,val_F1@OBJ_NAME/epoch_1,val_P@LIMIT/epoch_1,val_R@LIMIT/epoch_1,val_F1@LIMIT/epoch_1,val_P@VAR/epoch_1,val_R@VAR/epoch_1,val_F1@VAR/epoch_1,val_micro@P/epoch_1,val_micro@R/epoch_1,val_micro@F1/epoch_1,val_MD@R/epoch_1,val_MD@P/epoch_1,val_MD@F1/epoch_1,val_ALLTRUE/epoch_1,val_ALLRECALLED/epoch_1,val_ALLPRED/epoch_1,val_loss/epoch_1,val_P@CONST_DIR/epoch_2,val_R@CONST_DIR/epoch_2,val_F1@CONST_DIR/epoch_2,val_P@PARAM/epoch_2,val_R@PARAM/epoch_2,val_F1@PARAM/epoch_2,val_P@OBJ_DIR/epoch_2,val_R@OBJ_DIR/epoch_2,val_F1@OBJ_DIR/epoch_2,val_P@OBJ_NAME/epoch_2,val_R@OBJ_NAME/epoch_2,val_F1@OBJ_NAME/epoch_2,val_P@LIMIT/epoch_2,val_R@LIMIT/epoch_2,val_F1@LIMIT/epoch_2,val_P@VAR/epoch_2,val_R@VAR/epoch_2,val_F1@VAR/epoch_2,val_micro@P/epoch_2,val_micro@R/epoch_2,val_micro@F1/epoch_2,val_MD@R/epoch_2,val_MD@P/epoch_2,val_MD@F1/epoch_2,val_ALLTRUE/epoch_2,val_ALLRECALLED/epoch_2,val_ALLPRED/epoch_2,val_loss/epoch_2
1.9977303676804357e-05,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.007889925911671317,0.04520396912899669,0.01343491439335554,0.05555555555555525,0.00024213075060532688,0.00048216007714474814,0.0,0.0,0.0,0.0,0.0,0.0,0.0017482517482517483,0.0005870841487279843,0.0008789920890335595,0.018993066023515224,0.09273797841020609,0.031528901493007064,0.012432188065099457,0.01690850959173635,0.014328887036216273,0.11214953271028037,0.08245931283905968,0.09503959983321503,16264,1824,22120,142.4794921875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,0.010332519256058614,0.033887861983980284,0.015836452634574037,0.4398791540785498,0.3004126547455296,0.35700858193701757,0.8894736842105261,0.08043788672060924,0.1475338280226823,0.0,0.0,0.0,0.32318299339270323,0.1221763683753258,0.17731893766250256,0.019057963858990817,0.05346260387811634,0.028099293877809395,0.13318048484439798,0.13643271621995026,0.13478698537812134,0.23055402044763748,0.2250581610978118,0.22777294364534084,28952,6675,29659,165.32621807522244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999749,0.2666666666666649,0.4210526315789097,0.5308641975308636,0.8775510204081615,0.6615384615384136,0.0,0.0,0.0,0.6956521739130405,0.727272727272724,0.7111111111110581,0.0,0.0,0.0,0.6538461538461526,0.6666666666666654,0.6601941747572304,0.5878787878787874,0.5878787878787874,0.5878787878787375,0.696969696969697,0.696969696969697,0.6969696969696471,165,115,165,56.38291931152344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999999999999917,0.41379310344827447,0.5853658536584925,0.5555555555555551,0.9278350515463908,0.6949806949806475,0.0,0.0,0.0,0.7083333333333318,0.7555555555555539,0.7311827956988732,0.49999999999998745,0.05128205128205115,0.09302325581393618,0.6633663366336627,0.6203703703703698,0.6411483253588012,0.6137724550898201,0.6137724550898201,0.6137724550897702,0.7125748502994012,0.7125748502994012,0.7125748502993512,334,238,334,56.57497787475586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9629629629629595,0.5098039215686264,0.6666666666666198,0.5422222222222219,0.9312977099236633,0.6853932584269193,0.0,0.0,0.0,0.7076923076923066,0.6478873239436611,0.6764705882352433,0.5555555555555494,0.08474576271186426,0.14705882352938834,0.6874999999999996,0.6874999999999996,0.6874999999999496,0.6204819277108432,0.6229838709677418,0.6217303822937124,0.719758064516129,0.7168674698795181,0.7183098591548797,496,357,498,71.59959411621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9210526315789449,0.4929577464788725,0.6422018348623387,0.5445205479452052,0.9408284023668633,0.6898047722342265,0.0,0.0,0.0,0.6764705882352932,0.5054945054945049,0.5786163522012082,0.3846153846153817,0.062499999999999924,0.10752688172040584,0.6325581395348834,0.626728110599078,0.6296296296295792,0.596244131455399,0.5772727272727272,0.5866050808313586,0.6712121212121213,0.6932707355242567,0.6820631254810894,660,443,639,112.98444366455078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9411764705882335,0.5106382978723398,0.6620689655171949,0.5338983050847456,0.9310344827586202,0.678635547576255,0.0,0.0,0.0,0.6533333333333324,0.44545454545454505,0.5297297297296809,0.2727272727272715,0.05882352941176465,0.09677419354835776,0.5785440613026818,0.5471014492753621,0.562383612662892,0.5672215108834826,0.5382746051032806,0.5523690773066832,0.6330498177399757,0.6670934699103713,0.6496259351620449,823,521,781,126.52095031738281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9365079365079351,0.5175438596491223,0.6666666666666201,0.5348837209302324,0.9311740890688255,0.6794682422451529,0.0,0.0,0.0,0.6124999999999993,0.37984496124030975,0.4688995215310528,0.2222222222222214,0.04761904761904758,0.07843137254899045,0.5907590759075906,0.5541795665634673,0.571884984025509,0.5666305525460454,0.530964467005076,0.5482180293500548,0.6284263959390863,0.6706392199349945,0.6488469601676651,985,619,923,96.98773193359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9249999999999988,0.5481481481481477,0.6883720930232085,0.5502008032128513,0.935153583617747,0.6927939317319379,0.0,0.0,0.0,0.6049382716049375,0.3081761006289306,0.4083333333332882,0.1666666666666662,0.040816326530612214,0.0655737704917716,0.5888888888888887,0.5549738219895286,0.5714285714285213,0.5715613382899628,0.5256410256410257,0.5476402493320961,0.6213675213675214,0.6756505576208178,0.6473731077470561,1170,727,1076,105.15423583984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
